session_duration,pages_visited,referral,device,cart_items,is_returning_user,made_purchase
140,4,Google,Mobile,1,1,1
903,6,Ads,Mobile,1,1,0
395,3,Direct,Desktop,1,1,0
273,1,Google,Desktop,0,1,0
50,2,Direct,Mobile,0,1,1
50,2,Google,Mobile,0,1,1
17,6,Ads,Tablet,2,1,1
603,8,Ads,Tablet,0,1,1
275,6,Google,Mobile,1,1,0
369,0,Ads,Mobile,0,0,1
6,10,Google,Mobile,0,0,1
1051,2,Google,Mobile,2,0,1
535,5,Ads,Mobile,2,1,0
71,8,Google,Mobile,2,0,0
60,5,Direct,Mobile,2,1,1
60,4,Direct,Mobile,1,1,1
108,3,Google,Mobile,1,1,1
223,7,Google,Mobile,0,0,0
169,7,Google,Mobile,1,0,1
103,3,Google,Mobile,1,0,1
283,3,Ads,Mobile,2,0,0
45,2,Google,Desktop,0,1,1
103,2,Direct,Mobile,1,1,1
136,7,Google,Desktop,2,0,0
182,4,Google,Mobile,1,0,0
461,1,Ads,Mobile,3,0,1
66,3,Ads,Desktop,0,1,1
216,10,Direct,Mobile,2,0,0
269,3,Ads,Mobile,1,1,0
14,6,Google,Mobile,0,1,1
280,4,Direct,Mobile,1,1,0
56,5,Google,Mobile,1,1,1
20,3,Direct,Mobile,0,1,1
892,7,Google,Tablet,0,0,0
1011,5,Google,Mobile,2,1,0
495,2,Ads,Mobile,0,1,1
108,6,Google,Mobile,1,1,1
30,3,Google,Mobile,2,1,1
345,2,Ads,Tablet,0,1,1
174,7,Google,Desktop,1,1,0
39,6,Google,Desktop,2,1,0
205,3,Google,Mobile,1,1,0
10,5,Direct,Mobile,1,1,0
720,7,Google,Tablet,1,1,1
89,4,Ads,Mobile,0,0,0
325,4,Google,Mobile,1,0,1
112,3,Google,Mobile,0,1,1
220,6,Google,Mobile,1,1,0
237,4,Ads,Desktop,1,0,0
61,5,Google,Mobile,0,1,0
1047,7,Google,Desktop,0,0,1
447,4,Google,Mobile,1,1,1
841,3,Direct,Mobile,2,1,0
675,1,Direct,Desktop,0,1,1
273,5,Google,Desktop,0,1,1
764,8,Google,Desktop,1,0,0
27,5,Ads,Mobile,0,1,0
65,5,Direct,Mobile,1,0,0
13,3,Google,Desktop,0,0,0
118,3,Ads,Desktop,0,0,0
147,6,Direct,Mobile,1,1,0
94,5,Google,Mobile,2,0,1
529,7,Google,Mobile,1,1,1
132,6,Google,Desktop,2,0,0
98,8,Direct,Desktop,0,1,1
234,8,Ads,Desktop,1,1,0
45,8,Google,Desktop,0,0,1
486,9,Google,Tablet,1,1,1
23,5,Ads,Desktop,1,0,0
1300,3,Google,Mobile,3,0,1
443,4,Google,Mobile,3,1,1
66,5,Ads,Desktop,1,0,1
1,6,Google,Mobile,2,1,1
506,7,Google,Desktop,2,0,0
368,4,Ads,Mobile,2,1,0
391,6,Ads,Mobile,0,1,0
442,13,Ads,Mobile,2,1,0
23,3,Direct,Mobile,0,1,0
133,7,Google,Mobile,1,1,0
36,7,Google,Mobile,1,0,1
596,2,Google,Mobile,0,1,1
292,5,Google,Mobile,1,0,0
120,2,Direct,Desktop,0,1,0
19,4,Google,Mobile,7,0,0
111,3,Google,Mobile,1,1,1
117,3,Google,Mobile,1,1,0
392,1,Google,Desktop,0,0,0
304,7,Google,Mobile,2,1,0
654,4,Google,Mobile,2,0,1
191,9,Google,Desktop,2,1,0
38,4,Google,Mobile,1,1,1
374,6,Ads,Desktop,0,1,0
429,3,Ads,Mobile,1,1,1
247,8,Google,Mobile,0,1,0
442,6,Direct,Mobile,2,0,0
204,5,Google,Mobile,2,0,1
221,3,Google,Mobile,0,0,0
